SCHOOL NAME,Enrollment (TA),# of students in school who reside in-area (RA),# of students in school who live OUTSIDE attendance area (ANR),# of students residing in attendance area who do NOT attend the school (RNA),"Total CPS students residing in attendance area (includes charters, does not include private) (TR)"
ACE TECHNICAL CHARTER HS,481,0,481,0,0
ASPIRA - EARLY COLLEGE HS,568,0,568,0,0
ASPIRA - RAMIREZ HS,166,0,166,0,0
AUSTIN - AUSTIN BUSINESS & ENTR ACAD HS,186,0,186,0,0
CHI-ARTS HS,575,0,575,0,0
CICS - ELLISON HS,481,0,481,0,0
CICS - NORTHTOWN HS,886,0,886,0,0
CHICAGO MATH & SCIENCE CHARTER HS,606,0,606,0,0
COMMUNITY SERVICES WEST HS,156,0,156,0,0
FORD HS,179,0,179,0,0
NOBLE STREET - NOBLE HS,602,0,602,0,0
NOBLE STREET - COMER HS,950,0,950,0,0
NOBLE STREET - GOLDER HS,635,0,635,0,0
NOBLE STREET - PRITZKER HS,858,0,858,0,0
NOBLE STREET - RAUNER HS,640,0,640,0,0
NOBLE STREET - ROWE CLARK HS,662,0,662,0,0
NOBLE STREET - UIC HS,851,0,851,0,0
NORTH LAWNDALE - CHRISTINA HS,425,0,425,0,0
NORTH LAWNDALE - COLLINS,422,0,422,0,0
PERSPECTIVES - CALUMET LEADERSHIP ACAD HS,754,0,754,0,0
PERSPECTIVES - CALUMET TECH HS,494,0,494,0,0
PERSPECTIVES - JOSLIN HS,385,0,385,0,0
PERSPECTIVES - IIT MATH & SCIENCE HS,586,0,586,0,0
Prologue Early College High School,231,0,231,0,0
DUSABLE - SHABAZZ CHARTER HS,234,0,234,0,0
U OF C - WOODLAWN HS,634,0,634,0,0
UNO HS - GARCIA,648,0,648,0,0
URBAN PREP - ENGLEWOOD HS,449,0,449,0,0
YOUNG WOMEN'S LEADERSHIP CHARTER HS,331,0,331,0,0
CAAT HS,387,0,387,0,0
TALENT DEVELOPMENT HS,183,0,183,0,0
EPIC HS,493,0,493,0,0
NOBLE STREET - BULLS HS,1079,0,1079,0,0
NOBLE STREET - MUCHIN HS,886,0,886,0,0
URBAN PREP - WEST HS,476,0,476,0,0
INSTITUTO HEALTH SCIENCES HS,762,0,762,0,0
URBAN PREP - BRONZEVILLE HS,502,0,502,0,0
NOBLE STREET - JOHNSON HS,773,0,773,0,0
Prologue - Johnston CHTR,251,0,251,0,0
Noble Street Charter School - Silver,498,0,498,0,0
Noble Street Charter School - Purple,431,0,431,0,0
Legal Prep Charter Academy,228,0,228,0,0
YCCS-Academy of Scholastic Achievement HS,198,0,198,0,0
YCCS-Ada S. McKinley-Lakeside HS,177,0,177,0,0
"YCCS-ASPIRA,Antonia Pantoja Alternative HS",168,0,168,0,0
