SchoolID,SchoolName,FullName,SchoolName2,ISBE Name,Street Number,Street Direction,Street Name,City,State,ZIP,NCES ID,CPS Unit,ISBE ID,OracleID,Class,School Type,S_Type,School Category,Governance,Charter Type,Grade Structure,Attending Grades,ProgramTypes,Ward,Community Area Number,Community Area,IL Senate District,IL Rep District,US Congressional District,GeographicArea,Geographic Area Number,Cook County District,Census Block,Latitude,Longitude,Location
400115,Catalyst  - Maria,Catalyst-Maria Charter School,Catalyst Chtr - Maria,Catalyst Maria Charter School,6727,S,California Ave,Chicago,IL,60629,,9032,15016299025232C,66433,CPS,Charter,Charter,ES,Charter,Non-replicating  Charters Multi-charter,ES-HS,"K-6th, 9th-12th",NA||,15,66,Chicago Lawn,3,6,1,Chicago Lawn,8,2,170316609003001,41.7709914514,-87.6931119781,"(41.7709914514, -87.6931119781)"
400121,Uno  - Northside,UNO Charter - Rogers Park ES,Uno Chtr - Northside,UNO Network Charter Schools,7416,N,Ridge Blvd,Chicago,IL,60645,,9038,15016299025205C,66134,CPS,Charter,Charter,ES,Charter,Original Replicating Charters,ES-HS,K-9th,NA||,49,2,West Ridge,7,14,9,Ravenswood,30,13,170310201002001,42.0164781781,-87.6843690134,"(42.0164781781, -87.6843690134)"
610524,Alcott,Alcott High School for the Humanities,Alcott,Alcott Humanities High School,2957,N,Hoyne Ave,Chicago,IL,60618,170993006072,8035,150162990250849,22041,CPS,Regular,"District, non-alternative",HS,District,,ES-HS,9th-12th,AVID||,1,5,North Center,6,11,5,Lincoln Park,29,8,170310514002003,41.7712216704,-87.6664932337,"(41.7712216704, -87.6664932336999)"
400012,Amandla ,Amandla Charter High School,Amandla Chtr,Amandla Elem Charter Sch,6800,S,Stewart Ave,Chicago,IL,60621,170993005986,2035,15016299025227C,66551,CPS,Charter,Charter,HS,Charter,Non-replicating  Charters,ES-HS,5th-10th,NA||,6,68,Englewood,16,32,1,Englewood,4,3,170316812003013,41.7707911323,-87.6352295467,"(41.7707911322999, -87.6352295467)"
400035,Chgo Math & Sci Acad Campus,Chicago Math and Science Academy High School,Chgo Math & Sci Acad Campus,Chicago Math & Sci Elem Charter,7212,N,Clark St,Chicago,IL,60626,170993005092,7940,15016299025217C,66281,CPS,Charter,Charter,HS,Charter,Non-replicating  Charters,ES-HS,6th-12th,NA||,49,1,Rogers Park,7,14,9,Ravenswood,30,13,170310102022002,42.013034612,-87.6747818606,"(42.0130346119999, -87.6747818606)"
400113,Chicago Quest North,Chicago Intl Charter - Chicago Quest North,Chicago Quest North,Chicago International Charter,1443,N,Ogden Ave,Chicago,IL,60610,,8672,15016299025201C,66651,CPS,Charter,Charter,HS,Charter,Original Replicating Charters,ES-HS,6th-10th,NA||,27,8,Near North Side,5,9,7,Lincoln Park,29,2,170318422001040,41.9078097084,-87.6455939144,"(41.9078097084, -87.6455939143999)"
400036,Chicago Virtual  Campus,Chicago Virtual Charter High School,Chicago Virtual Chtr Campus,Chicago Virtual Elem Charter Schl,38,S,Peoria St,Chicago,IL,60607,170993099984,7700,15016299025225C,66481,CPS,Charter,Charter,HS,Charter,Non-replicating  Charters,ES-HS,K-12th,NA||,2,28,Near West Side,5,9,7,Near West,23,2,170318331001005,41.880550869,-87.6497357789,"(41.8805508689999, -87.6497357788999)"
400108,Cics - Hawkins,Chicago Intl Charter - Larry Hawkins,Cics - Hawkins,Chicago International Charter,801,E,133rd Pl,Chicago,IL,60827,170993003505,8110,15016299025201C,66077,CPS,Charter,Charter,HS,Charter,Original Replicating Charters,ES-HS,7th-12th,NA||,9,54,Riverdale,15,29,2,Far South Side,22,5,170315401013007,41.6531668986,-87.6018856014,"(41.6531668985999, -87.6018856013999)"
609783,Jefferson Alt,Nancy B Jefferson Alternative High School,Jefferson Alt,Jefferson  N Elem Alt School,1100,S,Hamilton Ave,Chicago,IL,60612,170993000894,2120,150162990253075,30011,Option,CPS,Alternative/District,HS,District,,ES-HS,8th-12th,NA||,2,28,Near West Side,5,9,7,Near West,23,2,170318382002026,41.8021121563,-87.6258200563,"(41.8021121562999, -87.6258200563)"
400052,Noble Street  - Comer,Noble Street Charter - Gary Comer College Prep,Noble Street Chtr - Comer,Noble Street Charter High School,7131,S,South Chicago Avenue,Chicago,IL,60619,170993003479,1935,15016299025006C,66146,CPS,Charter,Charter,HS,Charter,Original Replicating Charters,ES-HS,6th-12th,NA||,5,69,Greater Grand Crossing,3,5,1,South Shore,11,3,170318418002035,41.7652544243,-87.6045981285,"(41.7652544242999, -87.6045981285)"
