Progam ID,Program Type,School ID
0,NA,400010
1,NA,609772
2,NA,609773
3,Military,610513
4,NA,610212
5,NA,609774
6,AVID,610524
7,Early_Childhood_Program,609848
8,NA,400012
9,NA,609780
10,IB Diploma,609695
11,AVID,609695
12,Early_Childhood_Program,609951
13,NA,609777
14,NA,609779
15,Comprehensive_Gifted_Program,610287
16,Early_Childhood_Program,610287
17,NA,610268
18,NA,400060
19,NA,400013
20,NA,400017
21,NA,400015
22,NA,609781
23,NA,609782
24,Neighborhood,400018
25,CTE -  College and Career Academies,610501
26,NA,609786
27,Early_Childhood_Program,610544
28,IB_Wall_to_Wall,610563
29,IB Diploma,609788
30,NA,609789
31,NA,609790
32,NA,609791
33,NA,609792
34,NA,610083
35,Magnet High School,610246
36,Selective Enrollment,610246
37,Regional_Gifted_Center,610246
38,Math_Science,610246
39,Early_Childhood_Program,610246
40,NA,609796
41,Early_Childhood_Program,610237
42,NA,609797
43,NA,609798
44,NA,609799
45,Early_Childhood_Program,609922
46,NA,609800
47,Magnet High School,610350
48,Math_Science,610350
49,Specific_Aptitude,610350
50,NA,609803
51,NA,610087
52,IB Diploma,609698
53,Neighborhood,609698
54,Early_Childhood_Program,610238
55,NA,609804
56,IB Diploma,609815
57,AVID,610323
58,JROTC,610323
59,Neighborhood,610323
60,NA,609806
61,Magnet Program,610242
62,Fine_Performing_Arts,610242
63,Early_Childhood_Program,610242
64,NA,609809
65,NA,609810
66,Neighborhood,610566
67,Neighborhood,610567
68,NA,609811
69,Early_Childhood_Program,610317
70,IB Diploma,610381
71,NA,400019
72,Selective Enrollment,609726
73,Neighborhood,609726
74,Early_Childhood_Program,610091
75,NA,609812
76,NA,609813
77,NA,609830
78,NA,609817
79,NA,609818
80,NA,609819
81,NA,609820
82,NA,609821
83,NA,609827
84,NA,609828
85,NA,609829
86,NA,609832
87,NA,609833
88,Early_Childhood_Program,610353
89,NA,610565
90,Neighborhood,610572
91,Neighborhood,610573
92,NA,609835
93,Magnet Program,610539
94,Childrens_Engineering,610539
95,Early_Childhood_Program,610539
96,NA,610018
97,NA,609836
98,Early_Childhood_Program,610024
99,IB Diploma,609837
100,NA,609839
101,NA,609842
102,Early_Childhood_Program,609844
103,NA,609845
104,Military,609760
105,Early_Childhood_Program,610021
106,Magnet Program,609849
107,Fine_Performing_Arts,609849
108,NA,609826
109,NA,400021
110,NA,400020
111,NA,400115
112,Early_Childhood_Program,610251
113,NA,609851
114,NA,609852
115,NA,609853
116,Early_Childhood_Program,610148
117,Early_Childhood_Program,610248
118,Neighborhood,610340
119,Magnet High School,609753
120,Neighborhood,609753
121,NA,400022
122,NA,400035
123,Military,609754
124,NA,400093
125,NA,
126,NA,400147
127,NA,400113
128,NA,400091
129,NA,400036
130,CTE -  College and Career Academies,609674
131,ECSS,609674
132,JROTC,609674
133,STEM,609674
134,NA,609854
135,NA,609855
136,NA,400159
137,NA,400023
138,NA,400024
139,NA,400025
140,NA,400032
141,NA,400108
142,NA,400027
143,NA,400092
144,NA,400033
145,NA,400026
146,NA,400034
147,NA,400028
148,NA,400029
149,NA,400030
150,NA,400031
151,Magnet Program,610347
152,Technology,610347
153,Early_Childhood_Program,610347
154,Magnet High School,610244
155,ECSS,610244
156,STEM,610244
157,NA,609795
158,NA,609856
159,IB_Wall_to_Wall,609759
160,JROTC,609759
161,CTE_IBCC,609759
162,NA,609857
163,NA,609859
164,Magnet Program,609861
165,IB Diploma,609861
166,Montessori,609861
167,Early_Childhood_Program,610199
168,NA,609862
169,Neighborhood,610499
170,NA,610170
171,NA,609863
172,NA,400038
173,NA,609864
174,NA,609866
175,NA,609867
176,NA,609870
177,ECSS,609761
178,JROTC,609761
179,STEM,609761
180,Early_Childhood_Program,610355
181,Neighborhood,609702
182,Magnet High School,610561
183,Medical,610561
184,NA,609873
185,Comprehensive_Gifted_Program,610003
186,Early_Childhood_Program,610003
187,Early_Childhood_Program,610004
188,Magnet High School,609756
189,IB Diploma,609756
190,CTE -  College and Career Academies,609756
191,JROTC,609756
192,Early_Childhood_Program,609900
193,Early_Childhood_Program,610239
194,NA,609875
195,Magnet High School,610521
196,Childrens_Engineering,610521
197,NA,609876
198,NA,609879
199,Early_Childhood_Program,610367
200,IB Diploma,610367
201,Selective Enrollment,609880
202,Classical,609880
203,NA,609883
204,Early_Childhood_Program,610252
205,NA,609884
206,Neighborhood,610402
207,NA,609885
208,Comprehensive_Gifted_Program,610313
209,Specific_Aptitude,610313
210,Early_Childhood_Program,610313
211,IB Diploma,610313
212,NA,609874
213,Magnet High School,610363
214,Comprehensive_Gifted_Program,610363
215,Fine_Performing_Arts,610363
216,Technology,610363
217,Early_Childhood_Program,610363
218,Magnet High School,610515
219,Fine_Performing_Arts,610515
220,Technology,610515
221,Early_Childhood_Program,610515
222,Neighborhood,
223,NA,609887
224,NA,609888
225,NA,609891
226,NA,609893
227,JROTC,610245
228,NA,609894
229,NA,609896
230,Magnet Program,610364
231,World_Language,610364
232,Early_Childhood_Program,610364
233,Early_Childhood_Program,610263
234,CTE -  College and Career Academies,609676
235,JROTC,609676
236,Magnet Program,610188
237,Technology,610188
238,Early_Childhood_Program,610188
239,Early_Childhood_Program,610352
240,Magnet Program,610254
241,Technology,610254
242,Early_Childhood_Program,610254
243,Neighborhood,609736
244,NA,610316
245,STEM,609897
246,NA,609898
247,NA,609899
248,NA,609901
249,Early_Childhood_Program,610523
250,Selective Enrollment,609794
251,Regional_Gifted_Center,609794
252,IB Diploma,609903
253,NA,609904
254,NA,400094
255,NA,609907
256,NA,400039
257,IB Diploma,609908
258,NA,609909
259,NA,610319
260,Magnet Program,610362
261,Fine_Performing_Arts,610362
262,Early_Childhood_Program,610362
263,Early_Childhood_Program,610057
264,NA,609910
265,Early_Childhood_Program,610055
266,NA,609912
267,IB Diploma,609704
268,CTE -  College and Career Academies,609705
269,JROTC,609705
270,NA,609917
271,NA,609918
272,Early_Childhood_Program,609967
273,IB Diploma,609919
274,NA,400042
275,JROTC,609708
276,CTE -  College and Career Academies,609708
277,NA,609924
278,NA,609927
279,Magnet High School,609926
280,Fine_Performing_Arts,609926
281,Specific_Aptitude,609926
282,NA,400040
283,Magnet High School,610503
284,IB Diploma,610503
285,NA,609928
286,NA,609929
287,NA,609930
288,AVID,609709
289,JROTC,609709
290,NA,400041
291,NA,609933
292,Magnet High School,610009
293,Math_Science,610009
294,NA,609935
295,Early_Childhood_Program,610128
296,NA,609937
297,NA,609938
298,NA,609939
299,NA,400009
300,NA,609942
301,STEM,609943
302,ECSS,610558
303,STEM,610558
304,NA,609945
305,NA,609947
306,Neighborhood,609769
307,NA,609949
308,Neighborhood,610383
309,NA,609850
310,Early_Childhood_Program,610032
311,NA,609952
312,NA,609954
313,NA,609955
314,NA,609956
315,NA,609944
316,NA,609958
317,NA,609959
318,NA,609960
319,NA,609808
320,NA,609963
321,NA,609964
322,NA,609966
323,Magnet Program,609807
324,Fine_Performing_Arts,609807
325,Neighborhood,609694
326,Early_Childhood_Program,610068
327,Selective Enrollment,609710
328,Academic_Center,609710
329,CTE -  College and Career Academies,609710
330,AVID,609710
331,JROTC,609710
332,Magnet Program,609710
333,Pre-Engineering,609710
334,CTE -  College and Career Academies,609711
335,AVID,609711
336,JROTC,609711
337,NA,609969
338,NA,609971
339,NA,609972
340,Magnet High School,609974
341,Scholastic_Academy,609974
342,Specific_Aptitude,609974
343,NA,609975
344,NA,609976
345,NA,609979
346,NA,609981
347,NA,609983
348,STEM,609985
349,NA,609986
350,NA,609987
351,NA,609988
352,NA,610532
353,NA,609961
354,NA,609991
355,NA,609994
356,Magnet Program,610295
357,Fine_Performing_Arts,610295
358,Early_Childhood_Program,610295
359,Early_Childhood_Program,610299
360,AVID,609712
361,JROTC,609712
362,Neighborhood,609712
363,NA,609995
364,NA,609996
365,NA,609997
366,NA,400043
367,AVID,609768
368,Neighborhood,609768
369,NA,610000
370,Magnet Program,610002
371,Fine_Performing_Arts,610002
372,IB Diploma,609741
373,JROTC,609741
374,Neighborhood,609741
375,NA,610005
376,Magnet Program,610368
377,Math_Science,610368
378,Technology,610368
379,Childrens_Engineering,610368
380,World_Language,610368
381,Early_Childhood_Program,610368
382,STEM,610368
383,NA,610006
384,IB_Wall_to_Wall,609713
385,AVID,609713
386,JROTC,609713
387,CTE_IBCC,609713
388,AVID,610384
389,NA,400104
390,NA,400148
391,Magnet High School,610078
392,Dual_Immersion,610078
393,Early_Childhood_Program,610078
394,NA,400162
395,Early_Childhood_Program,610121
396,Magnet High School,610060
397,World_Language,610060
398,Early_Childhood_Program,610369
399,NA,610010
400,NA,610011
401,Neighborhood,609783
